unitid,month,high_earning,post_scorecard,avg_index,n_keywords
100724,2015-10-01,0,1,0.184266531859351,20
100724,2015-11-01,0,1,0.575917197030758,25
100724,2015-12-01,0,1,-0.234494999874832,20
100724,2016-01-01,0,1,0.0446083024649626,25
100724,2016-02-01,0,1,-0.0601336351290556,20
100724,2016-03-01,0,1,-0.379783452175158,15
100751,2013-03-01,1,0,-0.585278052858236,12
100751,2013-04-01,1,0,-0.184411937819579,24
100751,2013-05-01,1,0,-0.658759155083775,24
100751,2013-06-01,1,0,-0.667930642482506,30
100751,2013-07-01,1,0,-0.179350206767198,24
100751,2013-08-01,1,0,0.531508142198656,24
100751,2013-09-01,1,0,0.949748520899212,30
100751,2013-10-01,1,0,0.422078905295237,24
100751,2013-11-01,1,0,0.765778798245364,24
100751,2013-12-01,1,0,-0.0865793493134619,30
100751,2014-01-01,1,0,0.0306046316507802,24
100751,2014-02-01,1,0,-0.29193426829933,24
100751,2014-03-01,1,0,-0.378294452341421,30
100751,2014-04-01,1,0,-0.141719505069912,24
100751,2014-05-01,1,0,-0.479400959878068,24
100751,2014-06-01,1,0,-0.739858810340014,30
100751,2014-07-01,1,0,-0.404521353970226,24
100751,2014-08-01,1,0,0.688692801462815,30
100751,2014-09-01,1,0,1.16424979954931,24
100751,2014-10-01,1,0,0.607296655433389,24
100751,2014-11-01,1,0,0.800485394665867,30
100751,2014-12-01,1,0,-0.0972463421081753,24
100751,2015-01-01,1,0,-0.0799819189332339,24
100751,2015-02-01,1,0,-0.303827671666381,24
100751,2015-03-01,1,0,-0.5207639708138,30
100751,2015-04-01,1,0,-0.349272968682553,24
100751,2015-05-01,1,0,-0.75734230373574,30
100751,2015-06-01,1,0,-0.777148774475429,24
100751,2015-07-01,1,0,-0.463724370944641,24
100751,2015-08-01,1,0,0.724736614469738,30
100751,2015-09-01,1,1,0.825648367271418,24
100751,2015-10-01,1,1,0.45737285745002,24
100751,2015-11-01,1,1,0.479549020200995,30
100751,2015-12-01,1,1,-0.196260722938058,24
100751,2016-01-01,1,1,0.414410344007114,30
100751,2016-02-01,1,1,-0.393198726915626,24
100751,2016-03-01,1,1,-0.85960894061515,18
100812,2013-03-01,0,0,0.234206267433025,6
100812,2013-04-01,0,0,1.28392294917027,12
100812,2013-05-01,0,0,0.0677684822656229,12
100812,2013-06-01,0,0,-0.0462657169347274,15
100812,2013-07-01,0,0,0.472267524439221,12
100812,2013-08-01,0,0,1.33260993490278,12
100812,2013-09-01,0,0,0.0805289403718928,15
100812,2013-10-01,0,0,0.367431444991165,12
100812,2013-11-01,0,0,-0.327738283059613,12
100812,2013-12-01,0,0,-0.870177541606121,15
